search_family,removed_term,covered_output_columns,exact,provenance,field,rank_tested,restart
,,0,False,MEASURED_FROM_CODE,GF(3),22,272
,,0,False,MEASURED_FROM_CODE,GF(3),22,273
,,0,False,MEASURED_FROM_CODE,GF(3),22,274
,,0,False,MEASURED_FROM_CODE,GF(3),22,275
,,0,False,MEASURED_FROM_CODE,GF(3),22,276
,,0,False,MEASURED_FROM_CODE,GF(3),22,277
,,0,False,MEASURED_FROM_CODE,GF(3),22,278
,,0,False,MEASURED_FROM_CODE,GF(3),22,279
,,0,False,MEASURED_FROM_CODE,GF(3),22,280
,,0,False,MEASURED_FROM_CODE,GF(3),22,281
,,0,False,MEASURED_FROM_CODE,GF(3),22,282
,,0,False,MEASURED_FROM_CODE,GF(3),22,283
,,0,False,MEASURED_FROM_CODE,GF(3),22,284
,,0,False,MEASURED_FROM_CODE,GF(3),22,285
,,0,False,MEASURED_FROM_CODE,GF(3),22,286
,,0,False,MEASURED_FROM_CODE,GF(3),22,287
,,0,False,MEASURED_FROM_CODE,GF(3),22,288
,,0,False,MEASURED_FROM_CODE,GF(3),22,289
,,0,False,MEASURED_FROM_CODE,GF(3),22,290
,,0,False,MEASURED_FROM_CODE,GF(3),22,291
,,0,False,MEASURED_FROM_CODE,GF(3),22,292
,,0,False,MEASURED_FROM_CODE,GF(3),22,293
,,0,False,MEASURED_FROM_CODE,GF(3),22,294
,,0,False,MEASURED_FROM_CODE,GF(3),22,295
,,0,False,MEASURED_FROM_CODE,GF(3),22,296
,,0,False,MEASURED_FROM_CODE,GF(3),22,297
,,0,False,MEASURED_FROM_CODE,GF(3),22,298
,,0,False,MEASURED_FROM_CODE,GF(3),22,299
,,0,False,MEASURED_FROM_CODE,GF(3),22,300
,,0,False,MEASURED_FROM_CODE,GF(3),22,301
,,0,False,MEASURED_FROM_CODE,GF(3),22,302
,,0,False,MEASURED_FROM_CODE,GF(3),22,303
,,0,False,MEASURED_FROM_CODE,GF(3),22,304
,,0,False,MEASURED_FROM_CODE,GF(3),22,305
,,0,False,MEASURED_FROM_CODE,GF(3),22,306
,,0,False,MEASURED_FROM_CODE,GF(3),22,307
,,0,False,MEASURED_FROM_CODE,GF(3),22,308
,,0,False,MEASURED_FROM_CODE,GF(3),22,309
,,0,False,MEASURED_FROM_CODE,GF(3),22,310
,,0,False,MEASURED_FROM_CODE,GF(3),22,311
,,0,False,MEASURED_FROM_CODE,GF(3),22,312
,,0,False,MEASURED_FROM_CODE,GF(3),22,313
,,0,False,MEASURED_FROM_CODE,GF(3),22,314
,,0,False,MEASURED_FROM_CODE,GF(3),22,315
,,0,False,MEASURED_FROM_CODE,GF(3),22,316
,,0,False,MEASURED_FROM_CODE,GF(3),22,317
,,0,False,MEASURED_FROM_CODE,GF(3),22,318
,,0,False,MEASURED_FROM_CODE,GF(3),22,319
,,0,False,MEASURED_FROM_CODE,GF(3),22,320
,,0,False,MEASURED_FROM_CODE,GF(3),22,321
