comm_term,anti_term,max_abs_difference_after_normalization,normalized_dot_product,abs_normalized_dot_product,comm_scale,anti_scale,matched_rank1_term,cancels_in_half_sum_if_matched,provenance
c02,s12,2.5938979234240911e-01,-2.4393943775108908e-04,2.4393943775108908e-04,-4.0262082833095834e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c02,s13,3.2812682709797453e-01,8.5873584666169442e-02,8.5873584666169442e-02,-4.0262082833095834e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c02,s14,2.5931286252113178e-01,4.5054080956170505e-03,4.5054080956170505e-03,-4.0262082833095834e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c02,s15,2.5445452681070502e-01,-2.0618479541977320e-03,2.0618479541977320e-03,-4.0262082833095834e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c02,s16,4.9769907742764613e-01,-6.4116590912626789e-03,6.4116590912626789e-03,-4.0262082833095834e+00,-2.4555552594339427e+00,False,False,EXACT_DERIVED
c02,s17,2.6348332712880396e-01,-8.7376162261263129e-02,8.7376162261263129e-02,-4.0262082833095834e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c02,s18,2.7543694274655450e-01,3.9253492679836931e-02,3.9253492679836931e-02,-4.0262082833095834e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c02,s19,2.2532405550028062e-01,5.7353307685695049e-02,5.7353307685695049e-02,-4.0262082833095834e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c03,s01,3.3958759015887052e-01,-2.5794526824244202e-02,2.5794526824244202e-02,-3.5315517750773351e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c03,s02,3.4075333408839942e-01,1.7625872569104074e-02,1.7625872569104074e-02,-3.5315517750773351e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c03,s03,2.9216799772046109e-01,3.0969383683260594e-02,3.0969383683260594e-02,-3.5315517750773351e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c03,s04,3.0298924815536110e-01,6.5247167149672131e-02,6.5247167149672131e-02,-3.5315517750773351e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c03,s05,4.1007606133680335e-01,-2.0325029110144988e-02,2.0325029110144988e-02,-3.5315517750773351e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c03,s06,4.5199123226885174e-01,5.9369859967328218e-03,5.9369859967328218e-03,-3.5315517750773351e+00,-2.1792202055039831e+00,False,False,EXACT_DERIVED
c03,s07,2.5732445509965862e-01,-1.2460777210949164e-02,1.2460777210949164e-02,-3.5315517750773351e+00,2.5659582297407053e+00,False,False,EXACT_DERIVED
c03,s08,8.7968112155670364e-01,2.1653039096405377e-03,2.1653039096405377e-03,-3.5315517750773351e+00,2.1925846888267437e+00,False,False,EXACT_DERIVED
c03,s09,2.7142539601480908e-01,-1.1444139166990854e-02,1.1444139166990854e-02,-3.5315517750773351e+00,-2.7277522670412999e+00,False,False,EXACT_DERIVED
c03,s10,4.7024484027613406e-01,-7.7045361109114776e-03,7.7045361109114776e-03,-3.5315517750773351e+00,3.9539790864854716e+00,False,False,EXACT_DERIVED
c03,s11,3.8486129668648111e-01,-1.8525542534628923e-02,1.8525542534628923e-02,-3.5315517750773351e+00,2.3108509513644933e+00,False,False,EXACT_DERIVED
c03,s12,2.1755678296783365e-01,1.7376168854601159e-01,1.7376168854601159e-01,-3.5315517750773351e+00,-4.2274508949232361e+00,False,False,EXACT_DERIVED
c03,s13,3.7405447694351324e-01,-1.3224322368364674e-01,1.3224322368364674e-01,-3.5315517750773351e+00,-3.0072642167418633e+00,False,False,EXACT_DERIVED
c03,s14,2.5624760282251557e-01,7.1058309418220956e-03,7.1058309418220956e-03,-3.5315517750773351e+00,2.1743933446146309e+00,False,False,EXACT_DERIVED
c03,s15,2.3862675332169686e-01,1.6707947287099417e-01,1.6707947287099417e-01,-3.5315517750773351e+00,3.7203382834740637e+00,False,False,EXACT_DERIVED
c03,s16,4.9810030331398764e-01,-8.9509331773767354e-04,8.9509331773767354e-04,-3.5315517750773351e+00,-2.4555552594339427e+00,False,False,EXACT_DERIVED
c03,s17,3.2495234736181072e-01,-1.3062711512596320e-04,1.3062711512596320e-04,-3.5315517750773351e+00,-3.3112592114150203e+00,False,False,EXACT_DERIVED
c03,s18,2.7863636222231242e-01,1.4033268963741521e-01,1.4033268963741521e-01,-3.5315517750773351e+00,-3.8689415030055607e+00,False,False,EXACT_DERIVED
c03,s19,2.6746719721861845e-01,-1.9615991085131408e-02,1.9615991085131408e-02,-3.5315517750773351e+00,-3.1397060552277192e+00,False,False,EXACT_DERIVED
c04,s01,4.0583893538424975e-01,-1.0230008246816644e-01,1.0230008246816644e-01,5.7422442791912021e+00,3.0909200616253676e+00,False,False,EXACT_DERIVED
c04,s02,3.2808314661216564e-01,3.8118953538247365e-03,3.8118953538247365e-03,5.7422442791912021e+00,2.1113969268093742e+00,False,False,EXACT_DERIVED
c04,s03,4.2504339462342600e-01,-5.1185356951910545e-02,5.1185356951910545e-02,5.7422442791912021e+00,-2.3351217510006146e+00,False,False,EXACT_DERIVED
c04,s04,3.1449931383483326e-01,1.0081788958549709e-01,1.0081788958549709e-01,5.7422442791912021e+00,4.6789327920116177e+00,False,False,EXACT_DERIVED
c04,s05,3.1159183844895549e-01,2.8216911439914935e-02,2.8216911439914935e-02,5.7422442791912021e+00,-3.4597650304208645e+00,False,False,EXACT_DERIVED
c04,s06,4.5307653122853925e-01,5.0561795775788945e-03,5.0561795775788945e-03,5.7422442791912021e+00,-2.1792202055039831e+00,False,False,EXACT_DERIVED
