trial_index,rank_H_numeric,rank_Delta_numeric,rank_HDelta_numeric,delta_in_eta_numeric,projection_max_residual_numeric
540,18,23,23,False,1.6904991079725735
541,18,23,23,False,2.837861987830778
542,18,23,23,False,1.7616731048540164
543,18,23,23,False,2.534697706202663
544,18,23,23,False,1.7721240586146614
545,18,23,23,False,2.5153279892703435
546,18,23,23,False,1.9978271169952666
547,18,23,23,False,2.22735194096379
548,18,23,23,False,1.5286229994173512
549,18,23,23,False,2.4131934749894466
550,18,23,23,False,1.8554997976038958
551,18,23,23,False,1.8014339327693598
552,18,23,23,False,1.7734196509434783
553,18,23,23,False,1.6545841083306652
554,18,23,23,False,1.6465886227646027
555,18,23,23,False,2.128512179985786
556,18,23,23,False,3.236504482814518
557,18,23,23,False,2.15677148050976
558,18,23,23,False,1.8612065581350785
559,18,23,23,False,1.8295239450834413
560,18,23,23,False,1.9254105196119264
561,18,23,23,False,2.237048528014636
562,18,23,23,False,1.7734433409576358
563,18,23,23,False,3.0682277053511178
564,18,23,23,False,2.081643535112916
565,18,23,23,False,1.6622602266597215
566,18,23,23,False,2.363195352051388
567,18,23,23,False,1.8005650949392682
568,18,23,23,False,1.98710104308276
569,18,23,23,False,2.245713037505609
570,18,23,23,False,1.976022062622874
571,18,23,23,False,1.9964137941839124
572,18,23,23,False,1.9031779202934367
573,18,23,23,False,1.789871774514592
574,18,23,23,False,1.9086878084041397
575,18,23,23,False,1.6448217069824715
576,18,23,23,False,2.0801420075359145
577,18,23,23,False,2.847300711422039
578,18,23,23,False,1.4289211925422283
579,18,23,23,False,2.1846207706374465
580,18,23,23,False,2.336857907552937
581,18,23,23,False,2.117428389886611
582,18,23,23,False,2.384078733198202
583,18,23,23,False,1.823443350408267
584,18,23,23,False,1.6129863719662199
585,18,23,23,False,2.420622860681796
586,18,23,23,False,2.1835628875194795
587,18,23,23,False,1.672107533054966
588,18,23,23,False,1.7530993701828257
589,18,23,23,False,1.9407190417565314
590,18,23,23,False,2.5420136040808163
591,18,23,23,False,2.9033410977809004
592,18,23,23,False,2.452554796870267
593,18,23,23,False,1.509711240317654
594,18,23,23,False,2.037536339035579
595,18,23,23,False,2.69113217864738
596,18,23,23,False,2.5507291583816505
597,18,23,23,False,1.4946359586404707
598,18,23,23,False,1.8053552740611916
599,18,23,23,False,2.208781677338393
600,18,23,23,False,1.8349931948745386
601,18,23,23,False,1.7886470892073747
602,18,23,23,False,3.342898249988515
603,18,23,23,False,2.9306730238784278
604,18,23,23,False,1.673125621434718
605,18,23,23,False,2.0190471710536313
606,18,23,23,False,1.8387707394715567
607,18,23,23,False,1.835003245308192
608,18,23,23,False,2.5438956328951448
609,18,23,23,False,2.2662088982081787
610,18,23,23,False,2.7497112627884133
611,18,23,23,False,1.7681714021424573
612,18,23,23,False,1.9956281575443895
613,18,23,23,False,2.438840407125466
614,18,23,23,False,1.796422057726391
615,18,23,23,False,1.7270957524790227
616,18,23,23,False,2.0596707202098825
617,18,23,23,False,1.9196919519676192
618,18,23,23,False,1.5994757807814617
619,18,23,23,False,2.1291796515240593
620,18,23,23,False,3.123378385289124
621,18,23,23,False,2.3610704284704216
622,18,23,23,False,2.9234819729569548
623,18,23,23,False,1.423720391181519
624,18,23,23,False,1.7382254858218913
625,18,23,23,False,1.6446626861183418
626,18,23,23,False,2.051694674758275
627,18,23,23,False,2.1973225453878875
628,18,23,23,False,1.9498379151663183
629,18,23,23,False,1.927612173786146
630,18,23,23,False,2.587455030241287
